Date,Category,Item,Qty,Product Sales,Discounts,Tax,Gross Sales,Itemisation Type
1/11/2024,Sanrio,Purin,1,$40.84,$0.00,$4.16,$45.72,Physical Good
1/11/2024,SP GIRL - SKULLPANDA,SP - Cat,1,$40.85,$0.00,$4.15,$45.72,Physical Good
1/11/2024,None,Pot Lady 1,2,$104.44,-$49.83,$5.56,$61.13,Physical Good
1/11/2024,None,Fox - Nine Tailed,1,$52.22,-$24.92,$2.78,$30.56,Physical Good
1/11/2024,Beverages,Drink - COKE ZERO,1,$2.72,$0.00,$0.28,$3.05,Physical Good
1/11/2024,Beverages,Drink - Red Bull,1,$4.54,$0.00,$0.46,$5.08,Physical Good
1/11/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
1/11/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
1/11/2024,None,Nami,1,$40.84,$0.00,$4.16,$45.72,Physical Good
1/11/2024,None,Sleepy Sparkle,1,$36.31,$0.00,$3.69,$40.64,Physical Good
1/11/2024,None,Pot Lady 1,1,$50.00,$0.00,$5.00,$55.00,Physical Good
1/11/2024,None,Dor - Captain US,1,$31.82,$0.00,$3.18,$35.00,Physical Good
31/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
31/10/2024,Couple,Couple – Resting Bear,1,$50.00,-$50.00,$0.00,$0.00,Physical Good
31/10/2024,Halloween,Halloween - Mel,1,$40.84,$0.00,$4.16,$45.72,Physical Good
31/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
31/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
31/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
31/10/2024,None,Take-home kit,1,$2.72,$0.00,$0.28,$3.05,Physical Good
31/10/2024,Sanrio,Cina - Queen,1,$40.84,$0.00,$4.16,$45.72,Physical Good
31/10/2024,Sanrio,Cina,1,$36.31,$0.00,$3.69,$40.64,Physical Good
31/10/2024,Sanrio,Pompom,1,$40.84,$0.00,$4.16,$45.72,Physical Good
31/10/2024,Couple,Couple – Resting Bear,1,$45.38,$0.00,$4.62,$50.80,Physical Good
31/10/2024,Beverages,Drink - Yellow Red Bull,1,$4.74,-$2.20,$0.26,$2.84,Physical Good
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Sleepy Sparkle,1,$36.36,$0.00,$3.64,$40.00,Physical Good
30/10/2024,None,Sleepy Sparkle,1,$36.86,-$6.00,$3.14,$34.54,Physical Good
30/10/2024,None,Sleepy Sparkle,1,$36.86,-$6.00,$3.14,$34.54,Physical Good
30/10/2024,None,Amelia’s birthday,1,$350.00,$0.00,$0.00,$350.00,
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Custom Amount,1,$45.38,$0.00,$4.62,$50.80,
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
30/10/2024,None,Rabbit – Fish,1,$36.31,$0.00,$3.69,$40.64,Physical Good
30/10/2024,None,Bowtie Cat - School Girl,1,$40.85,$0.00,$4.15,$45.72,Physical Good
30/10/2024,Raws/Kaws,Raws - Furry,1,$45.38,$0.00,$4.62,$50.80,Physical Good
30/10/2024,None,Piggy – Bottle,1,$36.31,$0.00,$3.69,$40.64,Physical Good
30/10/2024,None,Capybara - Chicken Hat,1,$45.38,$0.00,$4.62,$50.80,Physical Good
29/10/2024,Beverages,Drink - Lipton LEMON,1,$4.74,-$2.20,$0.26,$2.84,Physical Good
29/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
29/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
29/10/2024,Beverages,Drink - Lipton PEACH,1,$4.54,$0.00,$0.46,$5.08,Physical Good
29/10/2024,None,Rabbit - Strawberry Bag,1,$33.79,-$21.88,$1.21,$13.33,Physical Good
29/10/2024,None,Ducky Star,1,$43.44,-$28.12,$1.56,$17.15,Physical Good
29/10/2024,None,Dor - Magician hat,1,$40.84,$0.00,$4.16,$45.72,Physical Good
29/10/2024,None,Piggy - Queen,1,$36.31,$0.00,$3.69,$40.64,Physical Good
29/10/2024,Beverages,Drink - WATER,2,$6.00,-$6.00,$0.00,$0.00,Physical Good
28/10/2024,None,Dor - Captain US,1,$31.77,$0.00,$3.23,$35.56,Physical Good
28/10/2024,None,Piggy - Peachy,1,$27.27,$0.00,$2.73,$30.00,Physical Good
28/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
28/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
28/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
28/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
28/10/2024,Beverages,Drink - WATER,1,$2.72,$0.00,$0.28,$3.05,Physical Good
28/10/2024,None,Monster small,1,$40.85,$0.00,$4.15,$45.72,Physical Good
28/10/2024,None,Piggy – Bottle,1,$37.41,-$12.00,$2.59,$28.45,Physical Good
28/10/2024,Beverages,Drink - COKE ZERO,1,$2.72,$0.00,$0.28,$3.05,Physical Good
28/10/2024,None,Piggy – Happy,1,$39.32,-$32.59,$0.68,$7.53,Physical Good
28/10/2024,None,Cat - Piggy,1,$39.02,-$29.41,$0.98,$10.76,Physical Good
28/10/2024,Sanrio,Kuro -  King,1,$42.09,-$13.50,$2.91,$32.00,Physical Good
28/10/2024,Halloween,Halloween - Bubu Lala,1,$45.38,$0.00,$4.62,$50.80,Physical Good
27/10/2024,None,Custom Amount,1,$40.84,$0.00,$4.16,$45.72,
27/10/2024,Sanrio,Cina,1,$37.41,-$12.00,$2.59,$28.45,Physical Good
27/10/2024,None,Custom Amount,1,$40.85,$0.00,$4.15,$45.72,
27/10/2024,Couple,Couple – Resting Bear,1,$49.92,$0.00,$5.08,$55.88,Physical Good
27/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
27/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
27/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
27/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
27/10/2024,None,Ducky Star,1,$42.09,-$13.50,$2.91,$32.00,Physical Good
27/10/2024,None,Custom Amount,1,$45.38,$0.00,$4.62,$50.80,
27/10/2024,None,Gloss Varnish,1,$4.54,$0.00,$0.46,$5.08,Service
